type,time,total_objects,total_collision_probability,mean_pc,ecob,expected_max_loss,ssr_index,normalized_ssr_index
D,1,110,0.025176796717786498,6.294199179446624e-4,1,0,0.025176796717786498,1
D,2,1421.0227065187848,0.5570952979794083,0.013927382449485206,1.453959361805717,0,0.8099939239151062,32.17223910549648
D,3,2338.9565741802217,0.8437532278671677,0.02109383069667919,1.6899205132314128,0,1.4258758878779452,56.634523599684755
D,4,2793.7527047375975,0.9804529634889829,0.024511324087224572,1.6848109665685647,0,1.651877905090887,65.61112295607863
D,5,2927.1401015315532,1.0470458921149837,0.02617614730287459,1.6766631344332943,0,1.7555432473690133,69.72861826098732
D,6,2884.682532102966,1.0118798585653201,0.025296996464133005,1.5847890715487665,0,1.6036161415746308,63.69420858221149
D,7,2764.4935494647075,0.916111352866132,0.0229027838216533,1.4750740805253666,0,1.3513321114878594,53.673711021910584
D,8,2630.4516232623114,0.8299255485540953,0.020748138713852383,1.387519854699981,0,1.1515381765415802,45.73807341138279
D,9,2514.375532547494,0.775458524103187,0.019386463102579677,1.2742619065627125,0,0.9881372573840344,39.2479340585036
D,10,2428.5633351188512,0.7649679700042166,0.019124199250105414,1.243860804443666,0,0.951513674543083,37.793277882363526
D,11,2363.6043644456145,0.7777196396890287,0.01944299099222572,1.2687332338639645,0,0.9867187535021786,39.19159234443425
D,12,2306.948318500794,0.7848655185800875,0.019621637964502187,1.3055994699067794,0,1.0247200050062717,40.70096829603204
D,13,2254.596677235852,0.7708280382497164,0.01927070095624291,1.314503514528137,0,1.0132561653760814,40.245634769742274
D,14,2210.967697211061,0.7471605732081478,0.018679014330203695,1.2904653344767627,0,0.9641848190129022,38.29656448438258
D,15,2180.140998149053,0.7338311853551599,0.018345779633878997,1.2627514099270993,0,0.9266463639557028,36.80557039653343
D,16,2159.49897476771,0.7370818841692595,0.018427047104231487,1.2610636416494474,0,0.9295071650443225,36.919198874400855
D,17,2142.0629041196157,0.7461873829296684,0.01865468457324171,1.2808467005937196,0,0.9557516474501282,37.9616064014579
D,18,2123.485576136036,0.747120622287057,0.018678015557176426,1.2960324599365625,0,0.9682925779720298,38.45972102114031
D,19,2105.3540902025757,0.7378139887753964,0.01844534971938491,1.2921492336959173,0,0.9533657802062565,37.86684187399972
D,20,2091.7803949822764,0.7277653592296335,0.018194133980740837,1.2765500236958114,0,0.9290288865695793,36.90020207825938
D,21,2083.9701192402486,0.7253965540358946,0.018134913850897365,1.2667335916615787,0,0.9188841822728213,36.49726343556894
D,22,2078.8897746148104,0.7297761104720897,0.018244402761802243,1.2712461150134455,0,0.9277250452672671,36.8484146599898
D,23,2072.8332943021824,0.7335651570763119,0.018339128926907797,1.281715786457096,0,0.9402220422195883,37.344784277316556
D,24,2065.203172470696,0.7317277377665397,0.01829319344416349,1.2853667778723672,0,0.9405385245728135,37.35735467524179
D,25,2058.412509041167,0.7264200266130428,0.01816050066532607,1.2797086698378162,0,0.9296060060005281,36.923124749376676
D,26,2054.5956478727235,0.7230689767337009,0.018076724418342523,1.2719368577060155,0,0.9196980821713675,36.529590816516944
D,27,2053.1636816334976,0.7239532257759612,0.01809883064439903,1.2698427575527302,0,0.9193067605585409,36.514047869683274
D,28,2051.6885391288442,0.7265075109099286,0.018162687772748216,1.2737765024169858,0,0.925408196226519,36.756391474247856
D,29,2048.7080218303827,0.7270789437255573,0.018176973593138933,1.2776364854001188,0,0.9289425862699517,36.89677430702244
D,30,2045.0840463337147,0.7250211843550517,0.01812552960887629,1.276985439475375,0,0.9258414957325926,36.77360174571052
D,31,2042.643717750027,0.7227185923671737,0.018067964809179344,1.2732599668888307,0,0.9202086509873699,36.54987015632834
D,32,2041.9814620843372,0.7222940641616891,0.018057351604042225,1.27045876174867,0,0.9176448223732739,36.44803716133558
D,33,2041.9316752907175,0.7233994631371153,0.018084986578427883,1.2707211435245527,0,0.9192389930226427,36.51135620335821
D,34,2041.0412180669941,0.7241479164268203,0.018103697910670506,1.2725244193038505,0,0.9214959068411328,36.6009988153151
D,35,2039.1566778563715,0.7234894543257651,0.018087236358144125,1.2731873480830445,0,0.9211376197190697,36.58676796910861
D,36,2037.3831517985598,0.7222018031834622,0.018055045079586555,1.271955716785258,0,0.9186087122318264,36.4863220102525
S,1,3766,0.2034168973797723,0.005085422434494308,1,0,0.2034168973797723,1
S,2,3698.3694996871036,0.2301552081056043,0.005753880202640107,1.453959361805717,0,0.3346363194934864,1.6450763127545494
S,3,3642.959741391471,0.25333282338283725,0.0063333205845709315,1.6899205132314128,0,0.4281123349094872,2.104605568288736
S,4,3597.554530479525,0.265132883117868,0.006628322077946699,1.6848109665685647,0,0.44669878907492544,2.1959768083619635
S,5,3560.3449681121965,0.26628861541878557,0.006657215385469639,1.6766631344332943,0,0.4464763045919631,2.1948830718738535
S,6,3529.8511028278062,0.2593968418995063,0.006484921047487657,1.5847890715487665,0,0.41108928023660074,2.0209200195847608
S,7,3504.8608144273317,0.24812382650046638,0.00620309566251166,1.4750740805253666,0,0.36600102523161104,1.799265596644608
S,8,3484.3792333524525,0.23672305591684362,0.005918076397921091,1.387519854699981,0,0.32845794014987434,1.6147033229823318
S,9,3467.5895011839066,0.2270389524049734,0.005675973810124335,1.2742619065627125,0,0.28930708835556235,1.422237248144809
S,10,3453.821514719033,0.22018685084063494,0.005504671271015874,1.243860804443666,0,0.2738817934145497,1.346406306174368
S,11,3442.526206441192,0.21534959661352282,0.00538373991533807,1.2687332338639645,0,0.27322119012277507,1.3431587721676856
S,12,3433.2549078998695,0.21091568529235383,0.005272892132308846,1.3055994699067794,0,0.27537140691272227,1.353729264676638
S,13,3425.6412928136006,0.20611258384270736,0.005152814596067684,1.314503514528137,0,0.27093571584971415,1.33192335218783
S,14,3419.385548071687,0.20148409327147587,0.0050371023317868965,1.2904653344767627,0,0.26000823781532234,1.2782037341268457
S,15,3414.2415097300773,0.19792638016991349,0.004948159504247837,1.2627514099270993,0,0.24993181562132533,1.2286679171726391
S,16,3410.007046568528,0.1955591544560279,0.004888978861400698,1.2610636416494474,0,0.2466125394762053,1.2123503143192091
S,17,3406.516816158776,0.19363729267370344,0.004840932316842586,1.2808467005937196,0,0.2480196874330135,1.2192678711934601
S,18,3403.636069464268,0.19141089942101153,0.0047852724855252885,1.2960324599365625,0,0.2480747388352835,1.2195385045723932
S,19,3401.2548558646395,0.18885567944225,0.004721391986056251,1.2921492336959173,0,0.24402972147042515,1.1996531488474633
S,20,3399.2829402758475,0.18652518505486715,0.004663129626371679,1.2765500236958114,0,0.23810872940165625,1.170545478122771
S,21,3397.645977675436,0.1848309100837071,0.004620772752092678,1.2667335916615787,0,0.23413152258041262,1.1509934798744725
S,22,3396.2829221148345,0.18360223293861033,0.004590055823465259,1.2712461150134455,0,0.23340362533100203,1.1474151279342617
S,23,3395.1440454162466,0.18234594043421926,0.004558648510855481,1.281715786457096,0,0.23371567045090413,1.1489491456285712
S,24,3394.188975804069,0.18080201700332765,0.004520050425083191,1.2853667778723672,0,0.23239690602839222,1.1424660833092701
S,25,3393.3847175040382,0.17916118161458605,0.004479029540364651,1.2797086698378162,0,0.22927411741057332,1.1271144155862651
S,26,3392.7040188252186,0.17777110846474664,0.004444277711618666,1.2719368577060155,0,0.2261136250915651,1.1115773959988131
S,27,3392.124339290836,0.17672983391327912,0.004418245847831978,1.2698427575527302,0,0.2244190996382744,1.1032470877740883
S,28,3391.6272465455463,0.17581324824178646,0.004395331206044661,1.2737765024169858,0,0.22394678442399205,1.1009251803004898
S,29,3391.1978568699283,0.174762361925772,0.0043690590481443,1.2776364854001188,0,0.22328276987106685,1.0976608764915219
S,30,3390.8241238288633,0.1735584621725479,0.004338961554313697,1.276985439475375,0,0.2216316290920813,1.089543847865808
