type,time,total_objects,total_collision_probability,mean_pc,ecob,expected_max_loss,ssr_index,normalized_ssr_index
D,1,110,0.025176796717786498,6.294199179446624e-4,1,0,0.025176796717786498,1
D,2,1410.6096284116013,0.5330223348981005,0.013325558372452511,1.447354960661909,0,0.771472520558359,30.642203184384513
D,3,2308.7268028859876,0.7591630020982284,0.01897907505245571,1.6214056665587262,0,1.2309111934438017,48.89069913227712
D,4,2750.4835915081194,0.8741763571229373,0.021854408928073433,1.5955418594095605,0,1.3947849702958073,55.39961997272044
D,5,2882.0954973775647,0.9368390777422899,0.02342097694355725,1.5500359447851615,0,1.4521342449799297,57.67748221734853
D,6,2844.2425421170487,0.9176656143177193,0.022941640357942984,1.4883516108817672,0,1.365809095320584,54.248723959219525
D,7,2728.8665754175295,0.8345339277837609,0.020863348194594022,1.3736532779960224,0,1.146360265499059,45.53241138453475
D,8,2598.726912674548,0.7475789565937131,0.018689473914842828,1.248790146739584,0,0.9335692349040882,37.08054068071953
D,9,2483.5863884087785,0.6877446597735166,0.017193616494337916,1.1813681050628715,0,0.8124796054837485,32.270968169265196
D,10,2393.014434603989,0.6663013355838352,0.01665753338959588,1.162879967809181,0,0.7748284756749446,30.775498740376143
D,11,2321.8157297706184,0.6648977443525272,0.01662244360881318,1.1666976382129695,0,0.7757346279892243,30.811490305325293
D,12,2258.580566056474,0.6572252830340757,0.01643063207585189,1.1738525781269575,0,0.7714855928997691,30.642722406172602
D,13,2200.171012901225,0.6416580575224131,0.01604145143806033,1.1710075293540019,0,0.751386416629409,29.844400979675925
D,14,2153.014617814797,0.6275493140045326,0.015688732850113317,1.1590094276411544,0,0.7273355712409925,28.88912276624755
D,15,2121.7928060401127,0.6229518842833494,0.015573797107083735,1.1556961449752177,0,0.7199430911713147,28.59550002493768
D,16,2102.227710452481,0.6252646685753606,0.015631616714384015,1.1610696569494883,0,0.7259758342454293,28.835115220696586
D,17,2085.075925085074,0.6263607101396241,0.015659017753490604,1.1680020636033737,0,0.7315906020031555,29.05812880819398
D,18,2065.2036058176454,0.6217304876295219,0.015543262190738047,1.170558186497458,0,0.7277717120897933,28.90644589331926
D,19,2045.250556255738,0.6143035321711884,0.01535758830427971,1.1648737751236604,0,0.7155860745920511,28.4224431969344
D,20,2030.8043228472611,0.6102038441399802,0.015255096103499505,1.1584200318969158,0,0.7068723565922564,28.07634205875272
D,21,2023.4435433373746,0.6111786908526273,0.015279467271315683,1.1583662582591698,0,0.7079687732506958,28.119890754431896
D,22,2019.2334372745597,0.613382119479651,0.015334552986991276,1.162334194013355,0,0.7129550114675836,28.317939706916988
D,23,2013.3550412384739,0.6126788975540426,0.015316972438851065,1.1655273171450182,0,0.7140939917375307,28.363178991434168
D,24,2004.9895749200764,0.6090125515504945,0.015225313788762362,1.1643956309906498,0,0.7091315542438636,28.166075382532195
D,25,1997.271467729507,0.6058051858550845,0.015145129646377112,1.1599922466748884,0,0.7027293185873378,27.91178426963605
D,26,1993.144875906697,0.6056275446898812,0.01514068861724703,1.1573470259545853,0,0.7009212376830117,27.83996890231219
D,27,1992.1236128338949,0.6073704145668526,0.015184260364171314,1.158277992058645,0,0.7035037842203208,27.942545356587033
D,28,1991.1986799420565,0.6080497523626586,0.015201243809066465,1.1604232865620858,0,0.7055950920299386,28.025610244986456
D,29,1988.2943712255346,0.6064285085705186,0.015160712714262965,1.1609772998412717,0,0.7040497324269701,27.964229934365893
D,30,1984.210704610299,0.6040845218348235,0.015102113045870589,1.159044159867697,0,0.7001606370991226,27.809758522794297
D,31,1981.244539284729,0.6032671015970829,0.015081677539927072,1.15660254063574,0,0.6977402623891452,27.713623389436865
D,32,1980.4683244508576,0.604269373724361,0.015106734343109024,1.1558821793561782,0,0.6984642006187073,27.74237757280963
D,33,1980.7402314152873,0.6053438335417278,0.015133595838543196,1.1567307328589345,0,0.7002198162043597,27.812109064282975
D,34,1980.2100555071145,0.6049275524889747,0.015123188812224367,1.1574630173448157,0,0.700181270178903,27.810578050393925
D,35,1978.3429431839834,0.6033502226401888,0.01508375556600472,1.1569997316438558,0,0.6980760456819591,27.726960403536705
D,36,1976.2487765706903,0.6022244965943154,0.015055612414857885,1.155584807359241,0,0.6959214788839578,27.64138292431437
S,1,3766,0.2034168973797723,0.005085422434494308,1,0,0.2034168973797723,1
S,2,3698.369680420543,0.22959933889894812,0.005739983472473703,1.447354960661909,0,0.33231174212008735,1.6336486614466095
S,3,3642.960969834239,0.2516164378012543,0.006290410945031358,1.6214056665587262,0,0.407972318050275,2.0055969946715133
S,4,3597.5577882519797,0.2625952303635649,0.006564880759089123,1.5955418594095605,0,0.4189816821263642,2.0597191655329397
S,5,3560.3508819664553,0.2631729578793095,0.006579323946982738,1.5500359447851615,0,0.407927544408361,2.0053768868904456
S,6,3529.859998007179,0.25622719696480356,0.006405679924120089,1.4883516108817672,0,0.38135616135428524,1.8747516369906403
S,7,3504.872607503511,0.2451169849502558,0.006127924623756395,1.3736532779960224,0,0.3367057498694206,1.6552496582464464
S,8,3484.3936606170023,0.234054958195284,0.0058513739548821,1.248790146739584,0,0.2922855255898159,1.4368792826690742
S,9,3467.606284399434,0.22453672171357497,0.005613418042839375,1.1813681050628715,0,0.2652605214477954,1.3040240258534823
S,10,3453.8407527538907,0.2173587140964809,0.0054339678524120225,1.162879967809181,0,0.25276209445156067,1.242581603138222
S,11,3442.5483146269075,0.2120091018373993,0.005300227545934982,1.1666976382129695,0,0.24735051839334668,1.2159782278634985
S,12,3433.2803386422042,0.20714668124220104,0.005178667031055026,1.1738525781269575,0,0.24315966582660076,1.1953759444704835
S,13,3425.6703467741045,0.20212996150795726,0.005053249037698932,1.1710075293540019,0,0.23669570683385252,1.163599041587729
S,14,3419.418327606669,0.19746663256142927,0.004936665814035732,1.1590094276411544,0,0.22886568878324828,1.125106575369518
S,15,3414.2780137366212,0.19391120198322298,0.004847780049580574,1.1556961449752177,0,0.2241024285995216,1.1016903290051177
S,16,3410.0472955409846,0.1914844400766389,0.004787111001915973,1.1610696569494883,0,0.22232677315094795,1.0929611847135372
